No,領域,タイプ名,猫ネーム,キャッチ,家猫化ポイント,X,Y,チュール,キャットタワー,改善策,副作用,出典,URL,根拠区分,根拠要約,座標根拠,根拠レベル,出典2,URL2
55,子育て・ケア,家族介護・見守りで離れにくい,見守り介護猫,離れられない時間がある,介護や見守りのため長時間家を空けにくい。,5.4,8.6,在宅から参加OK,カメラOFF・中断OKのオンライン席,オンライン・電話・短時間の役割を用意し、突然の中断を許容する。,介護負担を地域参加の工夫だけで解決しようとせず公的支援につなぐ。,内閣府男女共同参画局「令和2年版 男女共同参画白書」,https://www.gender.go.jp/about_danjo/whitepaper/r02/zentai/index.html,ケア責任,仕事、家事、育児、介護など生活時間と役割分担の実態を扱う白書。ケア責任や時間制約を参加設計に織り込む根拠に用いる。,在宅拘束が強いためYを相対的に高低配置し、制度・家族支援の影響が大きいためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,A:政府白書 + A:公的統計,総務省統計局「令和3年社会生活基本調査」,https://www.stat.go.jp/data/shakai/2021/kekka.html
56,子育て・ケア,家族ケアを担う若者,家族ケア背負い猫,若いから暇、とは限らない,家族の世話を日常的に担う若者は、同世代と同じ自由時間を持てない場合がある。,4.8,8.8,予定変更OK,学校・支援者とつながる安全な入口,本人のケア責任を前提に、匿名相談、短時間、非同期、支援機関への導線を用意する。,本人を「かわいそうな存在」と固定化せず、プライバシーを守る。,こども家庭庁「ヤングケアラーについて」,https://www.cfa.go.jp/policies/young-carer,ケア責任,家族の世話や介護を日常的に担うこども・若者の存在と支援の必要性を示す公的情報。家族ケアが参加制約になる類型の根拠に用いる。,外出と時間の自由が大きく制約されうるためYを相対的に高低配置し、家族・制度側の支援が必要ためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,A:公的機関 + A:公的統計,総務省統計局「令和3年社会生活基本調査」,https://www.stat.go.jp/data/shakai/2021/kekka.html
57,子育て・ケア,家族予定を最優先する,家族カレンダー猫,自分だけの予定では決められない,家庭内の予定調整を経ないと参加を確定しにくい。,6.0,7.0,家族と共有できる案内,一目で時間・場所・負担が分かる案内,所要時間、費用、子連れ可否、途中退出可否を事前に明示する。,家族構成を推測・収集しすぎない。,内閣府男女共同参画局「令和2年版 男女共同参画白書」,https://www.gender.go.jp/about_danjo/whitepaper/r02/zentai/index.html,情報・ケア,仕事、家事、育児、介護など生活時間と役割分担の実態を扱う白書。ケア責任や時間制約を参加設計に織り込む根拠に用いる。,参加可能だが事前調整が必要ためYを相対的に高低配置し、家庭内調整と本人判断の両方があるためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,A:政府白書,,
58,子育て・ケア,子連れなら参加できる,子連れなら行く猫,一緒に行けるなら、行ける,「子どもを預ける」前提を外すと参加できる層がいる。,6.8,5.8,親子参加ミッション,キッズスペースのある会場,子どもも役割を持てる企画、休憩スペース、短時間枠を用意する。,安全管理と年齢に応じた配慮を必ず行う。,内閣府男女共同参画局「令和2年版 男女共同参画白書」,https://www.gender.go.jp/about_danjo/whitepaper/r02/zentai/index.html,参加設計,仕事、家事、育児、介護など生活時間と役割分担の実態を扱う白書。ケア責任や時間制約を参加設計に織り込む根拠に用いる。,環境が整えば外出しやすいためYを相対的に高低配置し、家庭単位で参加形態を選びやすいためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,A:政府白書 + B:学術研究,都市計画報告集「地域活動への参加と担い手に関する研究」,https://www.jstage.jst.go.jp/article/cpijkansai/22/0/22_97/_article/-char/ja/
59,移動・アクセス,公共交通が少なく会場へ行きにくい,バス待ち長い猫,行きたい。でも足がない,交通空白や運行本数の少なさが、地域活動への物理的アクセスを制約する。,3.5,7.2,送迎・相乗り情報,徒歩圏・出張開催・オンライン,巡回型開催、送迎、相乗り、オンラインを組み合わせる。,送迎時の保険・安全・個人情報に配慮する。,国土交通省「交通空白の解消等に向けた取組」,https://www.mlit.go.jp/sogoseisaku/transport/sosei_transport_tk_000237.html,移動制約,地域の移動手段不足や交通空白の解消を扱う国の取組。移動のしづらさが参加機会を左右する類型の根拠に用いる。,移動手段不足で外出参加が難しいためYを相対的に高低配置し、交通インフラ側の解決が大きいためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,A:国の政策資料,,
60,移動・アクセス,段差や設備が不安,段差慎重猫,入口まで行けても、入れるか不安,段差、トイレ、通路などの物理的バリアが参加判断に影響する。,2.8,8.0,バリア情報を事前公開,段差の少ない会場・休憩席,入口から席までの写真、段差、トイレ、エレベーター情報を案内に載せる。,個人の障害・健康状態を勝手に推定しない。,国土交通省「バリアフリー・ユニバーサルデザイン」,https://www.mlit.go.jp/sogoseisaku/barrierfree/sosei_barrierfree_tk_000012.html,アクセシビリティ,高齢者、障害者等の移動・施設利用上の障壁を減らすバリアフリー施策。段差、経路、移動負担などの参加障壁を考える根拠に用いる。,物理的アクセス障壁が大きいためYを相対的に高低配置し、施設・公共環境側の改善が中心ためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,A:国の政策資料,,
61,移動・アクセス,坂道・長距離歩行が負担,坂道ゆっくり猫,近そうに見えて、坂がきつい,地図上の距離だけでは表せない高低差や歩行負担がある。,3.2,7.8,休憩ポイント案内,駅近・平坦ルート・送迎,平坦ルート、休憩場所、所要時間、代替交通を案内する。,体力を一律に扱わず本人の選択を尊重する。,国土交通省「バリアフリー・ユニバーサルデザイン」,https://www.mlit.go.jp/sogoseisaku/barrierfree/sosei_barrierfree_tk_000012.html,アクセシビリティ,高齢者、障害者等の移動・施設利用上の障壁を減らすバリアフリー施策。段差、経路、移動負担などの参加障壁を考える根拠に用いる。,移動負担が高いためYを相対的に高低配置し、道路・会場環境側の影響が大きいためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,A:国の政策資料,,
62,移動・アクセス,夜間の移動に不安がある,夜道こわい猫,帰り道まで考えると、今日はやめよう,暗い時間帯の移動や防犯への不安が参加をためらわせる。,4.8,7.4,明るいうちに終わる回,駅近・複数人で帰れる会場,昼開催、終了時刻厳守、駅までの同行やオンライン選択肢を用意する。,安全対策を理由に行動を過度に制限しない。,内閣府「防災に関する世論調査（令和7年8月調査）」,https://survey.gov-online.go.jp/public_safety/202510/r07/r07-bousai/,安全・移動,災害ボランティアに参加を希望しない理由として、経験・体力・安全衛生への不安、時間不足、費用、情報不足、周囲の理解不足などが回答されている。,夜間外出への心理的負担があるためYを相対的に高低配置し、会場・時間帯の設計で改善できるためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,A:公的統計・行政調査 + A:国の政策資料,国土交通省「バリアフリー・ユニバーサルデザイン」,https://www.mlit.go.jp/sogoseisaku/barrierfree/sosei_barrierfree_tk_000012.html
63,移動・アクセス,天候で移動負担が大きくなる,雨雪お休み猫,晴れなら行けたんだけどな,雨雪や暑さなど天候条件で移動負担が急に大きくなる。,5.5,6.6,当日オンライン切替,延期・ハイブリッド可能な場,荒天時のオンライン切替・延期基準を事前に明示する。,天候リスク時は参加促進より安全を優先する。,国土交通省「バリアフリー・ユニバーサルデザイン」,https://www.mlit.go.jp/sogoseisaku/barrierfree/sosei_barrierfree_tk_000012.html,移動制約,高齢者、障害者等の移動・施設利用上の障壁を減らすバリアフリー施策。段差、経路、移動負担などの参加障壁を考える根拠に用いる。,条件次第で外出が難しくなるためYを相対的に高低配置し、本人判断と環境条件が半々ためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,A:国の政策資料,,
64,移動・アクセス,近場なら参加できる,近場なら行く猫,徒歩10分なら、ちょっと行く,活動場所を生活圏に近づけることで参加できる層がいる。,6.2,5.6,徒歩圏ミッション,公園・集会所など分散拠点,大規模集中開催だけでなく、小さな出張開催を地域内に分散する。,開催分散で情報が断片化しないよう共通案内を用意する。,国土交通省「交通空白の解消等に向けた取組」,https://www.mlit.go.jp/sogoseisaku/transport/sosei_transport_tk_000237.html,参加設計,地域の移動手段不足や交通空白の解消を扱う国の取組。移動のしづらさが参加機会を左右する類型の根拠に用いる。,近距離なら外出しやすいためYを相対的に高低配置し、本人の生活圏に合わせる設計が中心ためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,A:国の政策資料 + B:学術研究,都市計画報告集「地域活動への参加と担い手に関する研究」,https://www.jstage.jst.go.jp/article/cpijkansai/22/0/22_97/_article/-char/ja/
65,情報・デジタル,活動情報そのものが届いていない,知らなかった猫,無関心じゃなくて、知らなかった,日時・場所・申込方法など具体情報が届かなければ参加判断自体ができない。,4.0,7.2,一枚で分かる案内,紙・SNS・掲示板の複線化,日時・場所・所要時間・費用・申込方法を一画面で示し、複数チャネルで届ける。,連絡量を増やしすぎて情報過多にしない。,内閣府「防災に関する世論調査（令和7年8月調査）」,https://survey.gov-online.go.jp/public_safety/202510/r07/r07-bousai/,情報不足,災害ボランティアに参加を希望しない理由として、経験・体力・安全衛生への不安、時間不足、費用、情報不足、周囲の理解不足などが回答されている。,情報不足により参加に至りにくいためYを相対的に高低配置し、発信側・地域側の改善余地が大きいためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,A:公的統計・行政調査 + A:政府ガイド,デジタル庁「ウェブアクセシビリティ導入ガイドブック」,https://www.digital.go.jp/resources/introduction-to-web-accessibility-guidebook
66,情報・デジタル,情報が多すぎて重要なお知らせを見落とす,通知埋もれ猫,届いてる。でも埋もれてる,SNS・メール・アプリ通知が多いと地域情報が注意の競争に負ける。,8.8,6.8,要点3行,重要度が分かる静かな通知,件名に日時と目的を入れ、リマインド回数を抑え、カレンダー追加を用意する。,通知最適化が新たな追跡・依存を生まないようにする。,デジタル庁「ウェブアクセシビリティ導入ガイドブック」,https://www.digital.go.jp/resources/introduction-to-web-accessibility-guidebook,情報設計,誰一人取り残されないデジタル化の観点から、読み上げ、代替テキスト、見出し構造、スマートフォン対応などアクセシビリティ上の配慮を示す。,情報は届くが行動につながりにくいためYを相対的に高低配置し、個人端末・デジタル環境への適応が中心ためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,A:政府ガイド + A:公的統計・行政調査,内閣府「防災に関する世論調査（令和7年8月調査）」,https://survey.gov-online.go.jp/public_safety/202510/r07/r07-bousai/
67,情報・デジタル,QRやアプリ操作が参加の壁になる,QRむずかしい猫,入口がQRだけだと、そこで止まる,デジタル手段だけに限定すると、使い慣れない人を排除しうる。,3.6,7.4,電話でもOK,紙・電話・対面受付も残す,QR、URL、電話、紙申込を併記し、代理入力も可能にする。,支援者が本人の同意なく個人情報を入力しない。,デジタル庁「ウェブアクセシビリティ導入ガイドブック」,https://www.digital.go.jp/resources/introduction-to-web-accessibility-guidebook,デジタルアクセシビリティ,誰一人取り残されないデジタル化の観点から、読み上げ、代替テキスト、見出し構造、スマートフォン対応などアクセシビリティ上の配慮を示す。,手続き障壁により参加が止まりやすいためYを相対的に高低配置し、サービス提供側の設計改善が中心ためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,A:政府ガイド,,
68,情報・デジタル,紙の案内の方が安心できる,紙なら安心猫,冷蔵庫に貼れると忘れない,デジタルだけでなく紙媒体が生活導線に合う人もいる。,3.2,6.3,持ち帰れる一枚,紙とデジタルを同じ内容で提供,紙・Webで同じ更新情報を持ち、QRは補助として使う。,紙だけに閉じると更新遅延が起きるため更新日を明示する。,デジタル庁「ウェブアクセシビリティ導入ガイドブック」,https://www.digital.go.jp/resources/introduction-to-web-accessibility-guidebook,情報設計,誰一人取り残されないデジタル化の観点から、読み上げ、代替テキスト、見出し構造、スマートフォン対応などアクセシビリティ上の配慮を示す。,外出より情報受取方法の相性が中心ためYを相対的に高低配置し、地域側のチャネル選択で改善できるためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,A:政府ガイド,,
69,情報・デジタル,文字や画面が読みづらい,大きな文字うれしい猫,読める案内なら、行ける,文字サイズ、色、構造、代替テキストなどのアクセシビリティが情報取得を左右する。,4.2,7.0,読みやすい案内,拡大・読み上げ対応ページ,見出し構造、十分なコントラスト、拡大対応、代替テキストを整える。,特定の利用者だけの機能にせず全体の使いやすさとして実装する。,デジタル庁「ウェブアクセシビリティ導入ガイドブック」,https://www.digital.go.jp/resources/introduction-to-web-accessibility-guidebook,デジタルアクセシビリティ,誰一人取り残されないデジタル化の観点から、読み上げ、代替テキスト、見出し構造、スマートフォン対応などアクセシビリティ上の配慮を示す。,情報取得の困難が参加を抑えるためYを相対的に高低配置し、提供側のアクセシビリティ改善が中心ためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,A:政府ガイド,,
70,情報・デジタル,オンラインなら参加しやすい,オンラインなら出る猫,家からなら、顔を出せる,移動や時間の壁をオンラインが下げる場合がある。,9.0,5.8,URLひとつで参加,カメラOFF・チャット参加OK,対面とオンラインを選べるハイブリッド設計にする。,オンライン参加者を二軍扱いせず意思決定に参加できるようにする。,デジタル庁「ウェブアクセシビリティ導入ガイドブック」,https://www.digital.go.jp/resources/introduction-to-web-accessibility-guidebook,参加設計,誰一人取り残されないデジタル化の観点から、読み上げ、代替テキスト、見出し構造、スマートフォン対応などアクセシビリティ上の配慮を示す。,外出不要なら参加しやすいためYを相対的に高低配置し、私的環境から参加する選択と相性が良いためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,A:政府ガイド + A:公的統計,総務省統計局「令和3年社会生活基本調査」,https://www.stat.go.jp/data/shakai/2021/kekka.html
71,初参加・関係性,知り合いがいない場へ入りづらい,知り合いゼロ猫,最初の一歩は、ひとりだと重い,地域とのつながりが薄い人ほど、既存ネットワーク中心の場に入りにくい。,5.0,7.3,初参加歓迎の一言,初参加者席・案内役,初参加者を迎える係、開始前オリエンテーション、ペア参加を用意する。,無理な友達づくりを求めず一人で居てもよい設計にする。,内閣府「人々のつながりに関する基礎調査（令和7年）」,https://www.cao.go.jp/kodoku_koritsu/torikumi/zenkokuchousa/r7.html,関係性・孤立,孤独・孤立や人とのつながりの実態を把握する全国調査。地域参加の入口設計では、関係性の薄さや孤立を前提にした配慮が必要になる。,関係性の入口がないと参加しづらいためYを相対的に高低配置し、地域側と本人側の双方に要因があるためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,A:公的統計・行政調査 + B:学術研究,都市計画報告集「地域活動への参加と担い手に関する研究」,https://www.jstage.jst.go.jp/article/cpijkansai/22/0/22_97/_article/-char/ja/
72,初参加・関係性,常連中心の雰囲気に入りづらい,常連の輪こわい猫,みんな知り合いに見える,内輪の文脈や暗黙ルールが新規参加者に心理的な壁を作る。,4.4,7.8,初めての人専用案内,用語を説明する進行,内輪ネタを減らし、目的・ルール・役割を冒頭に説明する。,既存メンバーの関係性自体を否定せず開き方を工夫する。,都市計画報告集「地域活動への参加と担い手に関する研究」,https://www.jstage.jst.go.jp/article/cpijkansai/22/0/22_97/_article/-char/ja/,組織・関係性,地域活動で会員減少や後継者不足が課題となる状況を扱い、若者参加、役割の明確化、中間支援など参加を支える条件を検討している。,心理的ハードルが高いためYを相対的に高低配置し、組織側の開き方が大きいためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,B:学術研究 + A:公的統計・行政調査,内閣府「人々のつながりに関する基礎調査（令和7年）」,https://www.cao.go.jp/kodoku_koritsu/torikumi/zenkokuchousa/r7.html
73,初参加・関係性,一人参加をためらう,ひとり参加ためらい猫,誰かと一緒なら行けそう,同行者の有無が参加判断を左右する。,5.6,7.1,友だち同伴OK,ペア・紹介制度,2人参加、紹介者制度、現地で合流する案内役を用意する。,同行できない人を不利にしない。,内閣府「人々のつながりに関する基礎調査（令和7年）」,https://www.cao.go.jp/kodoku_koritsu/torikumi/zenkokuchousa/r7.html,関係性,孤独・孤立や人とのつながりの実態を把握する全国調査。地域参加の入口設計では、関係性の薄さや孤立を前提にした配慮が必要になる。,一人での外出参加に抵抗があるためYを相対的に高低配置し、本人の心理と地域側の迎え方の両方があるためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,A:公的統計・行政調査 + B:学術研究,都市計画報告集「地域活動への参加と担い手に関する研究」,https://www.jstage.jst.go.jp/article/cpijkansai/22/0/22_97/_article/-char/ja/
74,初参加・関係性,雑談や交流中心だと疲れる,雑談ちょっと苦手猫,目的がある会話なら参加しやすい,交流そのものを主目的にすると参加しにくい人がいる。,6.0,7.7,作業から入れる,黙々タスク・チャット席,作業型、聞くだけ、チャットだけなど交流強度を選べるようにする。,対人特性をラベル化して固定しない。,内閣府「人々のつながりに関する基礎調査（令和7年）」,https://www.cao.go.jp/kodoku_koritsu/torikumi/zenkokuchousa/r7.html,参加スタイル,孤独・孤立や人とのつながりの実態を把握する全国調査。地域参加の入口設計では、関係性の薄さや孤立を前提にした配慮が必要になる。,対面交流強度が高いほど参加が難しいためYを相対的に高低配置し、個人の参加スタイル選択を重視ためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,A:公的統計・行政調査,,
75,初参加・関係性,何をするのか分からず不安,何するのかわからない猫,行ってから決める、がいちばん怖い,役割や作業内容が不明だと初心者は参加後の負担を予測できない。,4.6,6.8,役割メニュー,仕事内容が見える受付,所要時間、作業内容、必要スキル、終わり方を事前に一覧化する。,役割を細かく決めすぎて自主性を失わない。,都市計画報告集「地域活動への参加と担い手に関する研究」,https://www.jstage.jst.go.jp/article/cpijkansai/22/0/22_97/_article/-char/ja/,役割明確化,地域活動で会員減少や後継者不足が課題となる状況を扱い、若者参加、役割の明確化、中間支援など参加を支える条件を検討している。,不確実性が参加を止めるためYを相対的に高低配置し、組織側の説明改善が中心ためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,B:学術研究,,
76,初参加・関係性,まず一度試してから決めたい,一回お試し猫,入会は重い。体験なら行ける,継続加入を前提にしない試行参加が入口になる。,6.8,5.4,1回だけ歓迎,体験参加・見学枠,「入会不要・1回だけ・見学だけ」を明示し、終了後の勧誘を選択制にする。,体験参加を実質的な加入圧力にしない。,都市計画報告集「地域活動への参加と担い手に関する研究」,https://www.jstage.jst.go.jp/article/cpijkansai/22/0/22_97/_article/-char/ja/,参加設計,地域活動で会員減少や後継者不足が課題となる状況を扱い、若者参加、役割の明確化、中間支援など参加を支える条件を検討している。,試行なら外に出やすいためYを相対的に高低配置し、本人の選択余地を広く取るためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,B:学術研究 + A:公的統計・行政調査,内閣府「人々のつながりに関する基礎調査（令和7年）」,https://www.cao.go.jp/kodoku_koritsu/torikumi/zenkokuchousa/r7.html
77,費用・負担,参加費が気になる,参加費気になる猫,興味はある。でも今月はちょっと,参加費や飲食費など金銭負担が参加の壁になる。,6.5,6.7,無料枠・減免,費用が先に分かる案内,無料枠、学生・低所得向け減免、任意寄付を用意し総額を事前表示する。,収入証明の提出など過度なスティグマを生まない。,内閣府「防災に関する世論調査（令和7年8月調査）」,https://survey.gov-online.go.jp/public_safety/202510/r07/r07-bousai/,費用負担,災害ボランティアに参加を希望しない理由として、経験・体力・安全衛生への不安、時間不足、費用、情報不足、周囲の理解不足などが回答されている。,費用負担で参加が抑えられるためYを相対的に高低配置し、個人の家計判断と運営設計の両方があるためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,A:公的統計・行政調査,,
78,費用・負担,交通費が参加の壁になる,交通費しぶしぶ猫,参加費ゼロでも、往復が高い,交通費や宿泊費など付随費用も参加負担になる。,5.8,6.9,交通費補助,近場・オンライン・相乗り,交通費補助、地域内分散、オンライン、相乗り情報を組み合わせる。,補助制度を複雑にしすぎない。,内閣府「防災に関する世論調査（令和7年8月調査）」,https://survey.gov-online.go.jp/public_safety/202510/r07/r07-bousai/,費用・移動,災害ボランティアに参加を希望しない理由として、経験・体力・安全衛生への不安、時間不足、費用、情報不足、周囲の理解不足などが回答されている。,移動コストが外出参加を抑えるためYを相対的に高低配置し、地域側の補助と本人判断が半々ためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,A:公的統計・行政調査 + A:国の政策資料,国土交通省「交通空白の解消等に向けた取組」,https://www.mlit.go.jp/sogoseisaku/transport/sosei_transport_tk_000237.html
79,費用・負担,道具や持ち物を準備するのが負担,手ぶら希望猫,準備ゼロなら行ける,必要物品の購入・準備が参加前の小さな摩擦になる。,6.9,6.0,手ぶらOK,道具貸出しコーナー,貸出し、共同備品、持ち物なしの役割を用意する。,衛生・安全上必要な装備は省略しない。,内閣府「防災に関する世論調査（令和7年8月調査）」,https://survey.gov-online.go.jp/public_safety/202510/r07/r07-bousai/,費用・準備,災害ボランティアに参加を希望しない理由として、経験・体力・安全衛生への不安、時間不足、費用、情報不足、周囲の理解不足などが回答されている。,準備負担が中心で外出性は比較的高いためYを相対的に高低配置し、本人が選べる工夫が多いためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,A:公的統計・行政調査,,
80,費用・負担,無償で長時間の活動は難しい,長時間ボランティアむずかしい猫,善意はある。でも一日仕事は無理,長時間の無償活動は時間・費用・生活負担を積み上げる。,6.2,6.8,1時間だけ役割,有償・無償を分けた役割設計,短時間タスク、有償の専門業務、経費補助を区別して提示する。,無償参加を道徳的義務にしない。,内閣府「防災に関する世論調査（令和7年8月調査）」,https://survey.gov-online.go.jp/public_safety/202510/r07/r07-bousai/,時間・費用,災害ボランティアに参加を希望しない理由として、経験・体力・安全衛生への不安、時間不足、費用、情報不足、周囲の理解不足などが回答されている。,長時間拘束が参加を難しくするためYを相対的に高低配置し、運営設計の改善余地が大きいためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,A:公的統計・行政調査 + A:公的統計,総務省統計局「令和3年社会生活基本調査」,https://www.stat.go.jp/data/shakai/2021/kekka.html
81,費用・負担,予定変更でキャンセルするのが怖い,予定変更心配猫,行けなくなったら迷惑かな,参加確約への心理的負担が申し込み自体を抑えることがある。,6.6,6.4,キャンセル連絡不要枠,当日参加・待機枠,「欠席しても大丈夫」を明示し、運営上必要な席だけ予約制にする。,無制限キャンセルで運営不能にならない枠設計が必要。,内閣府「防災に関する世論調査（令和7年8月調査）」,https://survey.gov-online.go.jp/public_safety/202510/r07/r07-bousai/,予定不確実性,災害ボランティアに参加を希望しない理由として、経験・体力・安全衛生への不安、時間不足、費用、情報不足、周囲の理解不足などが回答されている。,外出性より確約負担が中心ためYを相対的に高低配置し、本人の選択と運営設計の両方があるためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,A:公的統計・行政調査,,
82,費用・負担,負担量が分かれば参加できる,負担見えると安心猫,終わる時間が見えると、行ける,参加に必要な時間・費用・役割が見えると判断しやすくなる。,5.4,5.8,負担を数字で表示,30分/60分/半日メニュー,時間・費用・必要スキル・責任範囲を事前に可視化する。,数字だけで個人差を過小評価しない。,都市計画報告集「地域活動への参加と担い手に関する研究」,https://www.jstage.jst.go.jp/article/cpijkansai/22/0/22_97/_article/-char/ja/,役割明確化,地域活動で会員減少や後継者不足が課題となる状況を扱い、若者参加、役割の明確化、中間支援など参加を支える条件を検討している。,条件が見えれば参加しやすいためYを相対的に高低配置し、組織側の透明性改善が中心ためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,B:学術研究 + A:公的統計・行政調査,内閣府「防災に関する世論調査（令和7年8月調査）」,https://survey.gov-online.go.jp/public_safety/202510/r07/r07-bousai/
83,言語・文化,難しい日本語の案内では理解しづらい,やさしい日本語猫,簡単な言葉なら、ちゃんと分かる,行政・地域特有の語彙や長文が情報理解の壁になる。,4.0,7.6,やさしい日本語,短文・ふりがな・図解,やさしい日本語、図解、音声、多言語版を同じページから選べるようにする。,内容を簡略化しすぎて重要情報を落とさない。,出入国在留管理庁「生活・就労ガイドブック」,https://www.moj.go.jp/isa/support/portal/guidebook_all.html,言語アクセシビリティ,外国人住民向けに多言語で生活情報を提供する公的ガイド。言語や制度理解の障壁を下げる情報提供の必要性を示す。,言語理解の壁で参加しづらいためYを相対的に高低配置し、情報提供側の改善が中心ためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,A:公的機関 + A:公的調査,文化庁「在留外国人に対する基礎調査」,https://www.bunka.go.jp/tokei_hakusho_shuppan/tokeichosa/nihongokyoiku_jittai/zaiju_gaikokujin.html
84,言語・文化,母語で情報を確認したい,多言語あるなら猫,内容が分かれば、参加したい,多言語情報の有無が地域制度やイベント理解を左右する。,4.3,7.8,多言語ページ,言語を選べる案内,主要情報を多言語化し、機械翻訳には原文と問い合わせ先を併記する。,翻訳だけで文化的背景の差が解消するとは考えない。,出入国在留管理庁「生活・就労ガイドブック」,https://www.moj.go.jp/isa/support/portal/guidebook_all.html,言語アクセシビリティ,外国人住民向けに多言語で生活情報を提供する公的ガイド。言語や制度理解の障壁を下げる情報提供の必要性を示す。,情報理解の不確実性が参加を抑えるためYを相対的に高低配置し、地域・制度側の情報提供改善が中心ためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,A:公的機関 + A:公的調査,文化庁「在留外国人に対する基礎調査」,https://www.bunka.go.jp/tokei_hakusho_shuppan/tokeichosa/nihongokyoiku_jittai/zaiju_gaikokujin.html
85,言語・文化,地域の暗黙ルールが分からない,地域ルール未知猫,「普通はこう」がいちばん難しい,ごみ出し、会費、役割、会議慣行など暗黙ルールは新住民に見えにくい。,4.8,7.2,はじめてガイド,用語集・ルール見える化,参加前に目的、費用、役割、意思決定方法を簡潔に説明する。,文化差を本人の能力不足として扱わない。,出入国在留管理庁「生活・就労ガイドブック」,https://www.moj.go.jp/isa/support/portal/guidebook_all.html,制度・文化理解,外国人住民向けに多言語で生活情報を提供する公的ガイド。言語や制度理解の障壁を下げる情報提供の必要性を示す。,未知のルールが心理的障壁になるためYを相対的に高低配置し、地域組織側の透明性が重要ためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,A:公的機関 + B:学術研究,都市計画報告集「地域活動への参加と担い手に関する研究」,https://www.jstage.jst.go.jp/article/cpijkansai/22/0/22_97/_article/-char/ja/
86,言語・文化,文化的な違いから慎重になる,文化ちがい慎重猫,失礼にならないか、少し心配,慣習やコミュニケーション様式の違いが初参加の不安につながる。,5.2,7.5,歓迎ルールを明示,質問してよい案内役,「分からなくてOK」「質問歓迎」を明示し、説明役を置く。,文化を国籍で決めつけない。,文化庁「在留外国人に対する基礎調査」,https://www.bunka.go.jp/tokei_hakusho_shuppan/tokeichosa/nihongokyoiku_jittai/zaiju_gaikokujin.html,文化・関係性,在留外国人の日本語学習や生活上の状況を把握する調査。やさしい日本語、多言語、学習・交流支援を考える根拠に用いる。,初参加の心理的負担が高いためYを相対的に高低配置し、本人と地域側双方の相互理解が必要ためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,A:公的調査 + A:公的統計・行政調査,内閣府「人々のつながりに関する基礎調査（令和7年）」,https://www.cao.go.jp/kodoku_koritsu/torikumi/zenkokuchousa/r7.html
